Matriz;Nucleos;Tiempo(ms)
2x2;1;0,000120
2x2;2;0,055411
2x2;3;0,033091
3x3;1;0,000090
3x3;2;0,003540
3x3;3;0,027230
4x4;1;0,000130
4x4;2;0,001560
4x4;3;0,019480
5x5;1;0,000330
5x5;2;0,001350
5x5;3;0,019910
6x6;1;0,001060
6x6;2;0,001930
6x6;3;0,019111
7x7;1;0,004360
7x7;2;0,003210
7x7;3;0,020800
8x8;1;0,021551
8x8;2;0,012840
8x8;3;0,026480
9x9;1;0,140172
9x9;2;0,081282
9x9;3;0,085471
10x10;1;1,233639
10x10;2;0,566208
10x10;3;0,473118
11x11;1;11,458313
11x11;2;6,163982
11x11;3;3,718446
12x12;1;112,304313
12x12;2;61,444816
12x12;3;61,208932
13x13;1;1294,018868
13x13;2;709,301923
13x13;3;482,142009
